FilePath,ReviewPath,FileKind,ReviewLines,KeywordHits,InitialRelevance,ReviewTier,Notes
"knowledge_base/Concepts.pdf","/tmp/open_esir_corpus_extracts/Concepts.txt",pdf,4024,576,yes,candidate,""
"knowledge_base/Confidentiality.pdf","/tmp/open_esir_corpus_extracts/Confidentiality.txt",pdf,26,2,no,metadata,""
"knowledge_base/Dti.TaxCore.Examples.SESignInvoice/README.md","knowledge_base/Dti.TaxCore.Examples.SESignInvoice/README.md",source,14,5,yes,candidate,""
"knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice.sln","knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice.sln",source,25,2,no,metadata,""
"knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/ESDCFixture.cs","knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/ESDCFixture.cs",source,197,31,yes,candidate,""
"knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/Properties/AssemblyInfo.cs","knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/Properties/AssemblyInfo.cs",source,20,3,yes,candidate,""
"knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/Properties/Settings.Designer.cs","knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/Properties/Settings.Designer.cs",source,35,3,yes,candidate,""
"knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/Properties/Settings.settings","knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/Properties/Settings.settings",source,8,2,no,metadata,""
"knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/SESignInvoice.csproj","knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/SESignInvoice.csproj",source,80,27,no,metadata,""
"knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/app.config","knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/app.config",source,14,4,no,metadata,""
"knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/packages.config","knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/packages.config",source,5,5,no,metadata,""
