Artifact,CatalogLayer,Count
contracts.csv,core_canonical,30
contracts.csv,guidance_canonical,1
contracts.csv,reference_only,1
types.csv,core_canonical,53
types.csv,derived_layer,1
types.csv,guidance_canonical,4
types.csv,reference_only,1
enums.csv,core_canonical,75
enums.csv,reference_only,8
rules.csv,core_canonical,44
rules.csv,derived_layer,19
rules.csv,guidance_canonical,42
rules.csv,reference_only,4
fields.csv,core_canonical,168
fields.csv,guidance_canonical,28
fields.csv,reference_only,14
errors_statuses.csv,core_canonical,63
errors_statuses.csv,guidance_canonical,9
errors_statuses.csv,reference_only,3
