FilePath,ReviewPath,ReviewLines,KeywordHits,QueueReason
"knowledge_base/Concepts.pdf","/tmp/open_esir_corpus_extracts/Concepts.txt",4024,576,top_level_source
"knowledge_base/Dti.TaxCore.Examples.SESignInvoice/README.md","knowledge_base/Dti.TaxCore.Examples.SESignInvoice/README.md",14,5,reference_se_example
"knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/ESDCFixture.cs","knowledge_base/Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/ESDCFixture.cs",197,31,reference_se_example
"knowledge_base/Dti.TaxCore.Examples.SESignInvoiceV3.0/README.md","knowledge_base/Dti.TaxCore.Examples.SESignInvoiceV3.0/README.md",14,5,reference_se_example
"knowledge_base/Dti.TaxCore.Examples.SESignInvoiceV3.0/SESignInvoice/ESDCFixture.cs","knowledge_base/Dti.TaxCore.Examples.SESignInvoiceV3.0/SESignInvoice/ESDCFixture.cs",199,31,reference_se_example
"knowledge_base/Overview.pdf","/tmp/open_esir_corpus_extracts/Overview.txt",133,15,top_level_source
"knowledge_base/Pasted text(1).txt","knowledge_base/Pasted text(1).txt",3104,351,top_level_source
"knowledge_base/Pravilnik_bezbednosni_element.pdf","/tmp/open_esir_corpus_extracts/Pravilnik_bezbednosni_element.txt",94,47,top_level_source
"knowledge_base/Pravilnikovrstamafiskalnihraunatipovimatransakcija.pdf","/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt",0,1,top_level_source
"knowledge_base/RucnoTestiranjeLPFR-a_v10.pdf","/tmp/open_esir_corpus_extracts/RucnoTestiranjeLPFR-a_v10.txt",1107,230,top_level_source
"knowledge_base/RunotestiranjeESIRa.pdf","/tmp/open_esir_corpus_extracts/RunotestiranjeESIRa.txt",1120,253,top_level_source
"knowledge_base/Secure-Element-Reader/README.fr.md","knowledge_base/Secure-Element-Reader/README.fr.md",117,24,reference_se_readme
"knowledge_base/Secure-Element-Reader/README.md","knowledge_base/Secure-Element-Reader/README.md",128,30,reference_se_readme
"knowledge_base/Secure-Element-Reader/README.sr.md","knowledge_base/Secure-Element-Reader/README.sr.md",105,34,reference_se_readme
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enpoints/EndpointUrls.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enpoints/EndpointUrls.cs",9,3,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduClasses.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduClasses.cs",15,2,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduInstructions.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduInstructions.cs",13,5,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduP1.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduP1.cs",17,2,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduP2.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduP2.cs",8,2,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Interfaces/IApduCommandService.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Interfaces/IApduCommandService.cs",18,12,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Interfaces/ICardReaderService.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Interfaces/ICardReaderService.cs",16,4,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Interfaces/ITaxCoreApiProxy.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Interfaces/ITaxCoreApiProxy.cs",14,3,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Models/SecureElementAuditRequest.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Models/SecureElementAuditRequest.cs",8,3,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Models/VerifyPinModel.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Models/VerifyPinModel.cs",18,7,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Proxies/TaxCoreApiProxy.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Proxies/TaxCoreApiProxy.cs",163,19,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Services/ApduCommandService.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Services/ApduCommandService.cs",127,60,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Services/CardReaderService.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Services/CardReaderService.cs",450,87,reference_se_core
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/ViewModels/VerifyPinDialogViewModel.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/ViewModels/VerifyPinDialogViewModel.cs",206,58,reference_se_core
"knowledge_base/TaxCore.Libraries.Certificates/README.md","knowledge_base/TaxCore.Libraries.Certificates/README.md",33,10,reference_cert_core
"knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/CertRequestData.cs","knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/CertRequestData.cs",39,1,reference_cert_core
"knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/Certificate.cs","knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/Certificate.cs",399,41,reference_cert_core
"knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/CertificateRevokeReason.cs","knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/CertificateRevokeReason.cs",75,11,reference_cert_core
"knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/CertificateTypes.cs","knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/CertificateTypes.cs",112,30,reference_cert_core
"knowledge_base/Taxcore-MobilePOS-Android/CHANGELOG.md","knowledge_base/Taxcore-MobilePOS-Android/CHANGELOG.md",97,12,reference_overview
"knowledge_base/Taxcore-MobilePOS-Android/README.md","knowledge_base/Taxcore-MobilePOS-Android/README.md",86,1,reference_overview
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/PrefService.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/PrefService.kt",357,60,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/api/ApiService.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/api/ApiService.kt",35,13,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/api/ApiServiceESDC.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/api/ApiServiceESDC.kt",35,10,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/local/JournalManager.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/local/JournalManager.kt",177,69,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/models/InvoiceResponse.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/models/InvoiceResponse.kt",28,10,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/models/StatusResponse.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/models/StatusResponse.kt",61,5,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/params/InvoiceRequest.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/params/InvoiceRequest.kt",23,14,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/realm/Journal.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/realm/Journal.kt",41,15,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/services/SdcService.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/services/SdcService.kt",215,50,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/enums/InvoiceOption.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/enums/InvoiceOption.kt",36,10,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/extensions/StringExtensions.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/extensions/StringExtensions.kt",88,4,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/ui/invoice/FiscalInvoiceFragment.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/ui/invoice/FiscalInvoiceFragment.kt",228,49,reference_android_core
"knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/ui/invoice/InvoiceBottomDialog.kt","knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/ui/invoice/InvoiceBottomDialog.kt",200,71,reference_android_core
